Name;h;w;t;A;cy;cz;cu;cv;Iy;Iz;Wy;Wz;Iu;Iv
20x20x3;0.02;0.02;0.003;1.12E-04;6.00E-03;6.00E-03;1.41E-02;8.50E-03;3.90E-09;3.90E-09;2.80E-07;2.80E-07;6.20E-09;1.70E-09
25x25x3;0.025;0.025;0.003;1.42E-04;7.20E-03;7.20E-03;1.77E-02;1.02E-02;8.00E-09;8.00E-09;4.50E-07;4.50E-07;1.27E-08;3.30E-09
25x25x4;0.025;0.025;0.004;1.85E-04;7.60E-03;7.60E-03;1.77E-02;1.08E-02;1.02E-08;1.02E-08;5.90E-07;5.90E-07;1.61E-08;4.30E-09
25x25x5;0.025;0.025;0.005;2.27E-04;8.00E-03;8.00E-03;1.77E-02;1.13E-02;1.20E-08;1.20E-08;7.10E-07;7.10E-07;1.89E-08;5.20E-09
30x30x3;0.03;0.03;0.003;1.74E-04;8.40E-03;8.40E-03;2.12E-02;1.18E-02;1.40E-08;1.40E-08;6.50E-07;6.50E-07;2.22E-08;5.90E-09
30x30x4;0.03;0.03;0.004;2.27E-04;8.80E-03;8.80E-03;2.12E-02;1.24E-02;1.80E-08;1.80E-08;8.50E-07;8.50E-07;2.85E-08;7.50E-09
30x30x5;0.03;0.03;0.005;2.78E-04;9.20E-03;9.20E-03;2.12E-02;1.30E-02;2.16E-08;2.16E-08;1.04E-06;1.04E-06;3.42E-08;9.10E-09
35x35x3;0.035;0.035;0.003;2.04E-04;9.60E-03;9.60E-03;2.47E-02;1.36E-02;2.29E-08;2.29E-08;9.00E-07;9.00E-07;3.64E-08;9.40E-09
35x35x3.5;0.035;0.035;0.0035;2.35E-04;9.80E-03;9.80E-03;2.47E-02;1.39E-02;2.63E-08;2.63E-08;1.04E-06;1.04E-06;4.18E-08;1.08E-08
35x35x4;0.035;0.035;0.004;2.67E-04;1.00E-02;1.00E-02;2.47E-02;1.42E-02;2.95E-08;2.95E-08;1.18E-06;1.18E-06;4.68E-08;1.23E-08
35x35x5;0.035;0.035;0.005;3.28E-04;1.04E-02;1.04E-02;2.47E-02;1.48E-02;3.56E-08;3.56E-08;1.45E-06;1.45E-06;5.64E-08;1.49E-08
38x38x4.5;0.038;0.038;0.0045;3.26E-04;1.09E-02;1.09E-02;2.69E-02;1.54E-02;4.21E-08;4.21E-08;1.55E-06;1.55E-06;6.68E-08;1.74E-08
38x38x6;0.038;0.038;0.006;4.24E-04;1.15E-02;1.15E-02;2.69E-02;1.63E-02;5.35E-08;5.35E-08;2.02E-06;2.02E-06;8.45E-08;2.25E-08
40x40x3;0.04;0.04;0.003;2.35E-04;1.07E-02;1.07E-02;2.83E-02;1.52E-02;3.45E-08;3.45E-08;1.18E-06;1.18E-06;5.47E-08;1.42E-08
40x40x4;0.04;0.04;0.004;3.08E-04;1.12E-02;1.12E-02;2.83E-02;1.58E-02;4.47E-08;4.47E-08;1.55E-06;1.55E-06;7.09E-08;1.86E-08
40x40x5;0.04;0.04;0.005;3.79E-04;1.16E-02;1.16E-02;2.83E-02;1.64E-02;5.43E-08;5.43E-08;1.91E-06;1.91E-06;8.60E-08;2.26E-08
40x40x6;0.04;0.04;0.006;4.48E-04;1.20E-02;1.20E-02;2.83E-02;1.70E-02;6.31E-08;6.31E-08;2.26E-06;2.26E-06;9.99E-08;2.64E-08
45x45x3;0.045;0.045;0.003;2.66E-04;1.18E-02;1.18E-02;3.18E-02;1.67E-02;4.93E-08;4.93E-08;1.49E-06;1.49E-06;7.81E-08;2.04E-08
45x45x4;0.045;0.045;0.004;3.49E-04;1.23E-02;1.23E-02;3.18E-02;1.75E-02;6.43E-08;6.43E-08;1.97E-06;1.97E-06;1.02E-07;2.65E-08
45x45x4.5;0.045;0.045;0.0045;3.90E-04;1.25E-02;1.25E-02;3.18E-02;1.78E-02;7.14E-08;7.14E-08;2.20E-06;2.20E-06;1.14E-07;2.94E-08
45x45x5;0.045;0.045;0.005;4.30E-04;1.28E-02;1.28E-02;3.18E-02;1.81E-02;7.84E-08;7.84E-08;2.43E-06;2.43E-06;1.25E-07;3.24E-08
45x45x6;0.045;0.045;0.006;5.09E-04;1.32E-02;1.32E-02;3.18E-02;1.87E-02;9.16E-08;9.16E-08;2.88E-06;2.88E-06;1.45E-07;3.81E-08
45x45x7;0.045;0.045;0.007;5.86E-04;1.36E-02;1.36E-02;3.18E-02;1.92E-02;1.04E-07;1.04E-07;3.31E-06;3.31E-06;1.64E-07;4.36E-08
50x50x3;0.05;0.05;0.003;2.96E-04;1.31E-02;1.31E-02;3.54E-02;1.85E-02;6.86E-08;6.86E-08;1.86E-06;1.86E-06;1.09E-07;2.84E-08
50x50x4;0.05;0.05;0.004;3.89E-04;1.36E-02;1.36E-02;3.54E-02;1.92E-02;8.97E-08;8.97E-08;2.46E-06;2.46E-06;1.42E-07;3.73E-08
50x50x5;0.05;0.05;0.005;4.80E-04;1.40E-02;1.40E-02;3.54E-02;1.99E-02;1.10E-07;1.10E-07;3.05E-06;3.05E-06;1.74E-07;4.55E-08
50x50x6;0.05;0.05;0.006;5.69E-04;1.45E-02;1.45E-02;3.54E-02;2.04E-02;1.28E-07;1.28E-07;3.61E-06;3.61E-06;2.03E-07;5.34E-08
50x50x7;0.05;0.05;0.007;6.56E-04;1.49E-02;1.49E-02;3.54E-02;2.10E-02;1.46E-07;1.46E-07;4.16E-06;4.16E-06;2.31E-07;6.09E-08
50x50x8;0.05;0.05;0.008;7.41E-04;1.52E-02;1.52E-02;3.54E-02;2.16E-02;1.63E-07;1.63E-07;4.68E-06;4.68E-06;2.57E-07;6.85E-08
50x50x9;0.05;0.05;0.009;8.24E-04;1.56E-02;1.56E-02;3.54E-02;2.21E-02;1.79E-07;1.79E-07;5.20E-06;5.20E-06;2.81E-07;7.61E-08
55x55x4;0.055;0.055;0.004;4.31E-04;1.47E-02;1.47E-02;3.89E-02;2.08E-02;1.20E-07;1.20E-07;2.98E-06;2.98E-06;1.91E-07;4.95E-08
55x55x5;0.055;0.055;0.005;5.32E-04;1.52E-02;1.52E-02;3.89E-02;2.15E-02;1.47E-07;1.47E-07;3.70E-06;3.70E-06;2.34E-07;6.06E-08
55x55x6;0.055;0.055;0.006;6.31E-04;1.56E-02;1.56E-02;3.89E-02;2.21E-02;1.73E-07;1.73E-07;4.39E-06;4.39E-06;2.74E-07;7.13E-08
60x60x4;0.06;0.06;0.004;4.71E-04;1.60E-02;1.60E-02;4.24E-02;2.26E-02;1.58E-07;1.58E-07;3.58E-06;3.58E-06;2.50E-07;6.51E-08
60x60x5;0.06;0.06;0.005;5.82E-04;1.64E-02;1.64E-02;4.24E-02;2.32E-02;1.94E-07;1.94E-07;4.45E-06;4.45E-06;3.07E-07;8.03E-08
60x60x6;0.06;0.06;0.006;6.91E-04;1.69E-02;1.69E-02;4.24E-02;2.39E-02;2.28E-07;2.28E-07;5.29E-06;5.29E-06;3.61E-07;9.44E-08
60x60x7;0.06;0.06;0.007;7.98E-04;1.73E-02;1.73E-02;4.24E-02;2.45E-02;2.61E-07;2.61E-07;6.10E-06;6.10E-06;4.13E-07;1.08E-07
60x60x8;0.06;0.06;0.008;9.03E-04;1.77E-02;1.77E-02;4.24E-02;2.50E-02;2.92E-07;2.92E-07;6.89E-06;6.89E-06;4.61E-07;1.22E-07
60x60x10;0.06;0.06;0.01;1.11E-03;1.85E-02;1.85E-02;4.24E-02;2.61E-02;3.49E-07;3.49E-07;8.41E-06;8.41E-06;5.51E-07;1.48E-07
63x63x5;0.063;0.063;0.005;6.14E-04;1.71E-02;1.71E-02;4.45E-02;2.42E-02;2.24E-07;2.24E-07;4.88E-06;4.88E-06;3.56E-07;9.24E-08
63x63x6;0.063;0.063;0.006;7.29E-04;1.75E-02;1.75E-02;4.45E-02;2.48E-02;2.64E-07;2.64E-07;5.82E-06;5.82E-06;4.20E-07;1.09E-07
63x63x6.5;0.063;0.063;0.0065;7.85E-04;1.78E-02;1.78E-02;4.45E-02;2.51E-02;2.84E-07;2.84E-07;6.27E-06;6.27E-06;4.51E-07;1.17E-07
65x65x4;0.065;0.065;0.004;5.13E-04;1.71E-02;1.71E-02;4.60E-02;2.41E-02;2.01E-07;2.01E-07;4.19E-06;4.19E-06;3.19E-07;8.32E-08
65x65x5;0.065;0.065;0.005;6.34E-04;1.76E-02;1.76E-02;4.60E-02;2.49E-02;2.47E-07;2.47E-07;5.22E-06;5.22E-06;3.93E-07;1.02E-07
65x65x6;0.065;0.065;0.006;7.53E-04;1.80E-02;1.80E-02;4.60E-02;2.55E-02;2.92E-07;2.92E-07;6.21E-06;6.21E-06;4.64E-07;1.20E-07
65x65x7;0.065;0.065;0.007;8.70E-04;1.85E-02;1.85E-02;4.60E-02;2.62E-02;3.34E-07;3.34E-07;7.18E-06;7.18E-06;5.31E-07;1.38E-07
65x65x8;0.065;0.065;0.008;9.85E-04;1.89E-02;1.89E-02;4.60E-02;2.67E-02;3.75E-07;3.75E-07;8.13E-06;8.13E-06;5.95E-07;1.55E-07
65x65x9;0.065;0.065;0.009;1.10E-03;1.93E-02;1.93E-02;4.60E-02;2.73E-02;4.14E-07;4.14E-07;9.05E-06;9.05E-06;6.55E-07;1.72E-07
65x65x10;0.065;0.065;0.01;1.21E-03;1.97E-02;1.97E-02;4.60E-02;2.78E-02;4.51E-07;4.51E-07;9.94E-06;9.94E-06;7.13E-07;1.89E-07
65x65x11;0.065;0.065;0.011;1.32E-03;2.00E-02;2.00E-02;4.60E-02;2.83E-02;4.86E-07;4.86E-07;1.08E-05;1.08E-05;7.67E-07;2.06E-07
70x70x5;0.07;0.07;0.005;6.84E-04;1.88E-02;1.88E-02;4.95E-02;2.66E-02;3.12E-07;3.12E-07;6.10E-06;6.10E-06;4.96E-07;1.29E-07
70x70x6;0.07;0.07;0.006;8.13E-04;1.93E-02;1.93E-02;4.95E-02;2.73E-02;3.69E-07;3.69E-07;7.27E-06;7.27E-06;5.85E-07;1.53E-07
70x70x7;0.07;0.07;0.007;9.40E-04;1.97E-02;1.97E-02;4.95E-02;2.79E-02;4.23E-07;4.23E-07;8.41E-06;8.41E-06;6.71E-07;1.75E-07
70x70x8;0.07;0.07;0.008;1.07E-03;2.01E-02;2.01E-02;4.95E-02;2.84E-02;4.73E-07;4.73E-07;9.46E-06;9.46E-06;7.50E-07;1.95E-07
70x70x9;0.07;0.07;0.009;1.19E-03;2.05E-02;2.05E-02;4.95E-02;2.90E-02;5.25E-07;5.25E-07;1.06E-05;1.06E-05;8.32E-07;2.18E-07
70x70x10;0.07;0.07;0.01;1.31E-03;2.09E-02;2.09E-02;4.95E-02;2.96E-02;5.72E-07;5.72E-07;1.17E-05;1.17E-05;9.06E-07;2.39E-07
75x75x4;0.075;0.075;0.004;5.93E-04;1.96E-02;1.96E-02;5.30E-02;2.76E-02;3.14E-07;3.14E-07;5.67E-06;5.67E-06;4.99E-07;1.30E-07
75x75x5;0.075;0.075;0.005;7.34E-04;2.01E-02;2.01E-02;5.30E-02;2.84E-02;3.88E-07;3.88E-07;7.06E-06;7.06E-06;6.16E-07;1.60E-07
75x75x6;0.075;0.075;0.006;8.73E-04;2.05E-02;2.05E-02;5.30E-02;2.90E-02;4.58E-07;4.58E-07;8.41E-06;8.41E-06;7.27E-07;1.89E-07
75x75x7;0.075;0.075;0.007;1.01E-03;2.10E-02;2.10E-02;5.30E-02;2.96E-02;5.26E-07;5.26E-07;9.74E-06;9.74E-06;8.36E-07;2.16E-07
75x75x8;0.075;0.075;0.008;1.14E-03;2.14E-02;2.14E-02;5.30E-02;3.02E-02;5.91E-07;5.91E-07;1.10E-05;1.10E-05;9.38E-07;2.45E-07
75x75x9;0.075;0.075;0.009;1.28E-03;2.18E-02;2.18E-02;5.30E-02;3.08E-02;6.54E-07;6.54E-07;1.23E-05;1.23E-05;1.04E-06;2.70E-07
75x75x10;0.075;0.075;0.01;1.41E-03;2.22E-02;2.22E-02;5.30E-02;3.13E-02;7.14E-07;7.14E-07;1.35E-05;1.35E-05;1.13E-06;2.97E-07
76x76x5;0.076;0.076;0.005;7.44E-04;2.03E-02;2.03E-02;5.37E-02;2.87E-02;4.04E-07;4.04E-07;7.26E-06;7.26E-06;6.42E-07;1.66E-07
76x76x6.5;0.076;0.076;0.0065;9.54E-04;2.10E-02;2.10E-02;5.37E-02;2.97E-02;5.14E-07;5.14E-07;9.34E-06;9.34E-06;8.16E-07;2.11E-07
76x76x8;0.076;0.076;0.008;1.16E-03;2.16E-02;2.16E-02;5.37E-02;3.06E-02;6.17E-07;6.17E-07;1.13E-05;1.13E-05;9.79E-07;2.54E-07
76x76x9.5;0.076;0.076;0.0095;1.36E-03;2.22E-02;2.22E-02;5.37E-02;3.14E-02;7.14E-07;7.14E-07;1.33E-05;1.33E-05;1.13E-06;2.96E-07
80x80x5;0.08;0.08;0.005;7.86E-04;2.12E-02;2.12E-02;5.66E-02;3.00E-02;4.71E-07;4.71E-07;8.02E-06;8.02E-06;7.48E-07;1.95E-07
80x80x6;0.08;0.08;0.006;9.35E-04;2.17E-02;2.17E-02;5.66E-02;3.07E-02;5.58E-07;5.58E-07;9.57E-06;9.57E-06;8.87E-07;2.30E-07
80x80x7;0.08;0.08;0.007;1.08E-03;2.21E-02;2.21E-02;5.66E-02;3.13E-02;6.42E-07;6.42E-07;1.11E-05;1.11E-05;1.02E-06;2.64E-07
80x80x8;0.08;0.08;0.008;1.23E-03;2.26E-02;2.26E-02;5.66E-02;3.19E-02;7.22E-07;7.22E-07;1.26E-05;1.26E-05;1.15E-06;2.99E-07
80x80x9;0.08;0.08;0.009;1.37E-03;2.30E-02;2.30E-02;5.66E-02;3.25E-02;8.00E-07;8.00E-07;1.40E-05;1.40E-05;1.27E-06;3.30E-07
80x80x10;0.08;0.08;0.01;1.51E-03;2.34E-02;2.34E-02;5.66E-02;3.30E-02;8.75E-07;8.75E-07;1.54E-05;1.54E-05;1.39E-06;3.64E-07
90x90x5;0.09;0.09;0.005;8.88E-04;2.35E-02;2.35E-02;6.36E-02;3.33E-02;6.77E-07;6.77E-07;1.02E-05;1.02E-05;1.07E-06;2.80E-07
90x90x6;0.09;0.09;0.006;1.06E-03;2.41E-02;2.41E-02;6.36E-02;3.40E-02;8.03E-07;8.03E-07;1.22E-05;1.22E-05;1.28E-06;3.31E-07
90x90x7;0.09;0.09;0.007;1.22E-03;2.45E-02;2.45E-02;6.36E-02;3.47E-02;9.26E-07;9.26E-07;1.41E-05;1.41E-05;1.47E-06;3.83E-07
90x90x8;0.09;0.09;0.008;1.39E-03;2.50E-02;2.50E-02;6.36E-02;3.53E-02;1.04E-06;1.04E-06;1.61E-05;1.61E-05;1.66E-06;4.31E-07
90x90x9;0.09;0.09;0.009;1.55E-03;2.54E-02;2.54E-02;6.36E-02;3.59E-02;1.16E-06;1.16E-06;1.79E-05;1.79E-05;1.84E-06;4.79E-07
90x90x10;0.09;0.09;0.01;1.71E-03;2.58E-02;2.58E-02;6.36E-02;3.65E-02;1.27E-06;1.27E-06;1.98E-05;1.98E-05;2.01E-06;5.26E-07
90x90x11;0.09;0.09;0.011;1.87E-03;2.62E-02;2.62E-02;6.36E-02;3.70E-02;1.38E-06;1.38E-06;2.16E-05;2.16E-05;2.18E-06;5.69E-07
90x90x16;0.09;0.09;0.016;2.64E-03;2.81E-02;2.81E-02;6.36E-02;3.97E-02;1.86E-06;1.86E-06;3.01E-05;3.01E-05;2.94E-06;7.94E-07
100x100x6;0.1;0.1;0.006;1.18E-03;2.64E-02;2.64E-02;7.07E-02;3.74E-02;1.11E-06;1.11E-06;1.51E-05;1.51E-05;1.76E-06;4.58E-07
100x100x7;0.1;0.1;0.007;1.37E-03;2.69E-02;2.69E-02;7.07E-02;3.81E-02;1.28E-06;1.28E-06;1.75E-05;1.75E-05;2.04E-06;5.27E-07
100x100x8;0.1;0.1;0.008;1.55E-03;2.74E-02;2.74E-02;7.07E-02;3.87E-02;1.45E-06;1.45E-06;1.99E-05;1.99E-05;2.30E-06;5.99E-07
100x100x9;0.1;0.1;0.009;1.73E-03;2.78E-02;2.78E-02;7.07E-02;3.93E-02;1.61E-06;1.61E-06;2.23E-05;2.23E-05;2.56E-06;6.61E-07
100x100x10;0.1;0.1;0.01;1.92E-03;2.82E-02;2.82E-02;7.07E-02;3.99E-02;1.77E-06;1.77E-06;2.46E-05;2.46E-05;2.80E-06;7.30E-07
100x100x11;0.1;0.1;0.011;2.09E-03;2.86E-02;2.86E-02;7.07E-02;4.05E-02;1.92E-06;1.92E-06;2.69E-05;2.69E-05;3.05E-06;7.91E-07
100x100x12;0.1;0.1;0.012;2.27E-03;2.90E-02;2.90E-02;7.07E-02;4.11E-02;2.07E-06;2.07E-06;2.91E-05;2.91E-05;3.28E-06;8.57E-07
100x100x13;0.1;0.1;0.013;2.45E-03;2.94E-02;2.94E-02;7.07E-02;4.16E-02;2.21E-06;2.21E-06;3.13E-05;3.13E-05;3.50E-06;9.17E-07
100x100x14;0.1;0.1;0.014;2.62E-03;2.98E-02;2.98E-02;7.07E-02;4.22E-02;2.35E-06;2.35E-06;3.35E-05;3.35E-05;3.72E-06;9.79E-07
100x100x15;0.1;0.1;0.015;2.79E-03;3.02E-02;3.02E-02;7.07E-02;4.27E-02;2.49E-06;2.49E-06;3.56E-05;3.56E-05;3.93E-06;1.04E-06
100x100x16;0.1;0.1;0.016;2.96E-03;3.06E-02;3.06E-02;7.07E-02;4.32E-02;2.62E-06;2.62E-06;3.77E-05;3.77E-05;4.13E-06;1.10E-06
110x110x6;0.11;0.11;0.006;1.30E-03;2.89E-02;2.89E-02;7.78E-02;4.09E-02;1.50E-06;1.50E-06;1.84E-05;1.84E-05;2.37E-06;6.16E-07
110x110x7;0.11;0.11;0.007;1.51E-03;2.94E-02;2.94E-02;7.78E-02;4.16E-02;1.73E-06;1.73E-06;2.14E-05;2.14E-05;2.74E-06;7.09E-07
110x110x8;0.11;0.11;0.008;1.71E-03;2.99E-02;2.99E-02;7.78E-02;4.22E-02;1.95E-06;1.95E-06;2.44E-05;2.44E-05;3.11E-06;8.01E-07
110x110x9;0.11;0.11;0.009;1.91E-03;3.03E-02;3.03E-02;7.78E-02;4.28E-02;2.17E-06;2.17E-06;2.73E-05;2.73E-05;3.46E-06;8.91E-07
110x110x10;0.11;0.11;0.01;2.12E-03;3.06E-02;3.06E-02;7.78E-02;4.33E-02;2.38E-06;2.38E-06;3.00E-05;3.00E-05;3.78E-06;9.77E-07
110x110x11;0.11;0.11;0.011;2.32E-03;3.11E-02;3.11E-02;7.78E-02;4.39E-02;2.59E-06;2.59E-06;3.28E-05;3.28E-05;4.11E-06;1.06E-06
110x110x12;0.11;0.11;0.012;2.51E-03;3.15E-02;3.15E-02;7.78E-02;4.45E-02;2.79E-06;2.79E-06;3.55E-05;3.55E-05;4.43E-06;1.15E-06
120x120x7;0.12;0.12;0.007;1.65E-03;3.18E-02;3.18E-02;8.49E-02;4.49E-02;2.26E-06;2.26E-06;2.56E-05;2.56E-05;3.58E-06;9.28E-07
120x120x8;0.12;0.12;0.008;1.87E-03;3.23E-02;3.23E-02;8.49E-02;4.56E-02;2.55E-06;2.55E-06;2.91E-05;2.91E-05;4.06E-06;1.05E-06
120x120x9;0.12;0.12;0.009;2.10E-03;3.27E-02;3.27E-02;8.49E-02;4.62E-02;2.85E-06;2.85E-06;3.26E-05;3.26E-05;4.52E-06;1.17E-06
120x120x10;0.12;0.12;0.01;2.32E-03;3.31E-02;3.31E-02;8.49E-02;4.69E-02;3.13E-06;3.13E-06;3.60E-05;3.60E-05;4.97E-06;1.29E-06
120x120x11;0.12;0.12;0.011;2.54E-03;3.36E-02;3.36E-02;8.49E-02;4.75E-02;3.41E-06;3.41E-06;3.94E-05;3.94E-05;5.42E-06;1.40E-06
120x120x12;0.12;0.12;0.012;2.75E-03;3.40E-02;3.40E-02;8.49E-02;4.80E-02;3.68E-06;3.68E-06;4.27E-05;4.27E-05;5.84E-06;1.52E-06
120x120x13;0.12;0.12;0.013;2.97E-03;3.44E-02;3.44E-02;8.49E-02;4.86E-02;3.94E-06;3.94E-06;4.60E-05;4.60E-05;6.26E-06;1.62E-06
120x120x14;0.12;0.12;0.014;3.18E-03;3.48E-02;3.48E-02;8.49E-02;4.92E-02;4.20E-06;4.20E-06;4.93E-05;4.93E-05;6.66E-06;1.73E-06
120x120x15;0.12;0.12;0.015;3.39E-03;3.51E-02;3.51E-02;8.49E-02;4.97E-02;4.45E-06;4.45E-06;5.24E-05;5.24E-05;7.06E-06;1.84E-06
120x120x16;0.12;0.12;0.016;3.60E-03;3.55E-02;3.55E-02;8.49E-02;5.02E-02;4.69E-06;4.69E-06;5.56E-05;5.56E-05;7.44E-06;1.95E-06
130x130x8;0.13;0.13;0.008;2.04E-03;3.46E-02;3.46E-02;9.19E-02;4.90E-02;3.27E-06;3.27E-06;3.43E-05;3.43E-05;5.19E-06;1.34E-06
130x130x9;0.13;0.13;0.009;2.28E-03;3.51E-02;3.51E-02;9.19E-02;4.96E-02;3.64E-06;3.64E-06;3.84E-05;3.84E-05;5.79E-06;1.50E-06
130x130x10;0.13;0.13;0.01;2.52E-03;3.55E-02;3.55E-02;9.19E-02;5.03E-02;4.01E-06;4.01E-06;4.25E-05;4.25E-05;6.38E-06;1.65E-06
130x130x11;0.13;0.13;0.011;2.76E-03;3.60E-02;3.60E-02;9.19E-02;5.09E-02;4.37E-06;4.37E-06;4.65E-05;4.65E-05;6.95E-06;1.79E-06
130x130x12;0.13;0.13;0.012;3.00E-03;3.64E-02;3.64E-02;9.19E-02;5.15E-02;4.72E-06;4.72E-06;5.04E-05;5.04E-05;7.50E-06;1.94E-06
130x130x13;0.13;0.13;0.013;3.23E-03;3.68E-02;3.68E-02;9.19E-02;5.20E-02;5.07E-06;5.07E-06;5.44E-05;5.44E-05;8.05E-06;2.08E-06
130x130x14;0.13;0.13;0.014;3.47E-03;3.72E-02;3.72E-02;9.19E-02;5.26E-02;5.40E-06;5.40E-06;5.82E-05;5.82E-05;8.58E-06;2.22E-06
130x130x15;0.13;0.13;0.015;3.70E-03;3.76E-02;3.76E-02;9.19E-02;5.32E-02;5.73E-06;5.73E-06;6.20E-05;6.20E-05;9.09E-06;2.36E-06
130x130x16;0.13;0.13;0.016;3.93E-03;3.80E-02;3.80E-02;9.19E-02;5.37E-02;6.05E-06;6.05E-06;6.58E-05;6.58E-05;9.60E-06;2.50E-06
140x140x9;0.14;0.14;0.009;2.46E-03;3.75E-02;3.75E-02;9.90E-02;5.30E-02;4.58E-06;4.58E-06;4.47E-05;4.47E-05;7.28E-06;1.88E-06
140x140x10;0.14;0.14;0.01;2.72E-03;3.79E-02;3.79E-02;9.90E-02;5.37E-02;5.04E-06;5.04E-06;4.94E-05;4.94E-05;8.02E-06;2.07E-06
140x140x11;0.14;0.14;0.011;2.98E-03;3.84E-02;3.84E-02;9.90E-02;5.43E-02;5.50E-06;5.50E-06;5.41E-05;5.41E-05;8.75E-06;2.26E-06
140x140x12;0.14;0.14;0.012;3.24E-03;3.88E-02;3.88E-02;9.90E-02;5.49E-02;5.95E-06;5.95E-06;5.88E-05;5.88E-05;9.46E-06;2.44E-06
140x140x13;0.14;0.14;0.013;3.50E-03;3.92E-02;3.92E-02;9.90E-02;5.55E-02;6.39E-06;6.39E-06;6.34E-05;6.34E-05;1.02E-05;2.62E-06
140x140x14;0.14;0.14;0.014;3.75E-03;3.96E-02;3.96E-02;9.90E-02;5.61E-02;6.81E-06;6.81E-06;6.79E-05;6.79E-05;1.08E-05;2.80E-06
140x140x15;0.14;0.14;0.015;4.00E-03;4.00E-02;4.00E-02;9.90E-02;5.66E-02;7.23E-06;7.23E-06;7.24E-05;7.24E-05;1.15E-05;2.98E-06
140x140x16;0.14;0.14;0.016;4.25E-03;4.04E-02;4.04E-02;9.90E-02;5.72E-02;7.64E-06;7.64E-06;7.68E-05;7.68E-05;1.21E-05;3.15E-06
140x140x18;0.14;0.14;0.018;4.74E-03;4.12E-02;4.12E-02;9.90E-02;5.83E-02;8.44E-06;8.44E-06;8.54E-05;8.54E-05;1.34E-05;3.50E-06
150x150x10;0.15;0.15;0.01;2.93E-03;4.03E-02;4.03E-02;1.06E-01;5.71E-02;6.24E-06;6.24E-06;5.69E-05;5.69E-05;9.90E-06;2.58E-06
150x150x11;0.15;0.15;0.011;3.21E-03;4.08E-02;4.08E-02;1.06E-01;5.77E-02;6.81E-06;6.81E-06;6.24E-05;6.24E-05;1.08E-05;2.79E-06
150x150x12;0.15;0.15;0.012;3.48E-03;4.12E-02;4.12E-02;1.06E-01;5.83E-02;7.37E-06;7.37E-06;6.77E-05;6.77E-05;1.17E-05;3.03E-06
150x150x13;0.15;0.15;0.013;3.76E-03;4.17E-02;4.17E-02;1.06E-01;5.89E-02;7.92E-06;7.92E-06;7.31E-05;7.31E-05;1.26E-05;3.25E-06
