Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 50x30x3.2;0.05;0.03;0.0032;0.00046;12.6;6.380E+00;1.420E-07;6.200E-08;1.760E-02;1.160E-02;5.680E-06;4.130E-06;7.250E-06;5.000E-06;1.420E-07;6.800E-06;1.520E-01
RHS 50x30x3.6;0.05;0.03;0.0036;0.00051;10.9;5.330E+00;1.540E-07;6.670E-08;1.740E-02;1.140E-02;6.160E-06;4.450E-06;7.940E-06;5.460E-06;1.540E-07;7.310E-06;1.510E-01
RHS 50x30x4;0.05;0.03;0.004;0.000559;9.5;4.500E+00;1.650E-07;7.080E-08;1.720E-02;1.130E-02;6.600E-06;4.720E-06;8.590E-06;5.880E-06;1.660E-07;7.770E-06;1.500E-01
RHS 50x30x5;0.05;0.03;0.005;0.000673;7;3.000E+00;1.870E-07;7.890E-08;1.670E-02;1.080E-02;7.490E-06;5.260E-06;1.000E-05;6.800E-06;1.900E-07;8.670E-06;1.470E-01
RHS 50x30x6.3;0.05;0.03;0.0063;0.000807;4.94;1.760E+00;2.060E-07;8.500E-08;1.600E-02;1.030E-02;8.260E-06;5.660E-06;1.150E-05;7.680E-06;2.110E-07;9.360E-06;1.440E-01
RHS 60x40x3.2;0.06;0.04;0.0032;0.000588;15.8;9.500E+00;2.780E-07;1.460E-07;2.180E-02;1.570E-02;9.270E-06;7.290E-06;1.150E-05;8.640E-06;3.080E-07;1.170E-05;1.920E-01
RHS 60x40x3.6;0.06;0.04;0.0036;0.000654;13.7;8.110E+00;3.040E-07;1.590E-07;2.160E-02;1.560E-02;1.010E-05;7.930E-06;1.270E-05;9.500E-06;3.380E-07;1.280E-05;1.910E-01
RHS 60x40x4;0.06;0.04;0.004;0.000719;12;7.000E+00;3.280E-07;1.700E-07;2.140E-02;1.540E-02;1.090E-05;8.520E-06;1.380E-05;1.030E-05;3.670E-07;1.370E-05;1.900E-01
RHS 60x40x5;0.06;0.04;0.005;0.000873;9;5.000E+00;3.810E-07;1.950E-07;2.090E-02;1.500E-02;1.270E-05;9.770E-06;1.640E-05;1.220E-05;4.300E-07;1.570E-05;1.870E-01
RHS 60x40x6.3;0.06;0.04;0.0063;0.00106;6.52;3.350E+00;4.340E-07;2.190E-07;2.020E-02;1.440E-02;1.450E-05;1.100E-05;1.920E-05;1.420E-05;4.950E-07;1.760E-05;1.840E-01
RHS 60x40x8;0.06;0.04;0.008;0.00128;4.5;2.000E+00;4.790E-07;2.370E-07;1.940E-02;1.360E-02;1.600E-05;1.190E-05;2.210E-05;1.610E-05;5.540E-07;1.920E-05;1.790E-01
RHS 80x40x3.2;0.08;0.04;0.0032;0.000716;22;9.500E+00;5.720E-07;1.890E-07;2.830E-02;1.630E-02;1.430E-05;9.460E-06;1.800E-05;1.100E-05;4.620E-07;1.610E-05;2.320E-01
RHS 80x40x3.6;0.08;0.04;0.0036;0.000798;19.2;8.110E+00;6.280E-07;2.060E-07;2.810E-02;1.610E-02;1.570E-05;1.030E-05;2.000E-05;1.210E-05;5.080E-07;1.750E-05;2.310E-01
RHS 80x40x4;0.08;0.04;0.004;0.000879;17;7.000E+00;6.820E-07;2.220E-07;2.790E-02;1.590E-02;1.710E-05;1.110E-05;2.180E-05;1.320E-05;5.520E-07;1.890E-05;2.300E-01
RHS 80x40x5;0.08;0.04;0.005;0.00107;13;5.000E+00;8.030E-07;2.570E-07;2.740E-02;1.550E-02;2.010E-05;1.290E-05;2.610E-05;1.570E-05;6.510E-07;2.190E-05;2.270E-01
RHS 80x40x6.3;0.08;0.04;0.0063;0.00131;9.7;3.350E+00;9.330E-07;2.920E-07;2.670E-02;1.490E-02;2.330E-05;1.460E-05;3.110E-05;1.840E-05;7.560E-07;2.480E-05;2.240E-01
RHS 80x40x8;0.08;0.04;0.008;0.0016;7;2.000E+00;1.060E-06;3.210E-07;2.580E-02;1.420E-02;2.650E-05;1.610E-05;3.650E-05;2.120E-05;8.580E-07;2.740E-05;2.190E-01
RHS 90x50x3.2;0.09;0.05;0.0032;0.000844;25.1;1.260E+01;8.910E-07;3.530E-07;3.250E-02;2.040E-02;1.980E-05;1.410E-05;2.460E-05;1.620E-05;8.090E-07;2.360E-05;2.720E-01
RHS 90x50x3.6;0.09;0.05;0.0036;0.000942;22;1.090E+01;9.830E-07;3.870E-07;3.230E-02;2.030E-02;2.180E-05;1.550E-05;2.720E-05;1.800E-05;8.940E-07;2.590E-05;2.710E-01
RHS 90x50x4;0.09;0.05;0.004;0.00104;19.5;9.500E+00;1.070E-06;4.190E-07;3.210E-02;2.010E-02;2.380E-05;1.680E-05;2.980E-05;1.960E-05;9.750E-07;2.800E-05;2.700E-01
RHS 90x50x5;0.09;0.05;0.005;0.00127;15;7.000E+00;1.270E-06;4.920E-07;3.160E-02;1.970E-02;2.830E-05;1.970E-05;3.600E-05;2.350E-05;1.160E-06;3.290E-05;2.670E-01
RHS 90x50x6.3;0.09;0.05;0.0063;0.00156;11.3;4.940E+00;1.500E-06;5.700E-07;3.100E-02;1.910E-02;3.330E-05;2.280E-05;4.320E-05;2.800E-05;1.380E-06;3.810E-05;2.640E-01
RHS 90x50x8;0.09;0.05;0.008;0.00192;8.25;3.250E+00;1.740E-06;6.460E-07;3.010E-02;1.840E-02;3.860E-05;2.580E-05;5.140E-05;3.290E-05;1.600E-06;4.320E-05;2.590E-01
RHS 90x50x10;0.09;0.05;0.01;0.00229;6;2.000E+00;1.940E-06;7.020E-07;2.910E-02;1.750E-02;4.300E-05;2.810E-05;5.930E-05;3.740E-05;1.790E-06;4.710E-05;2.540E-01
RHS 100x50x3.2;0.1;0.05;0.0032;0.000908;28.3;1.260E+01;1.160E-06;3.880E-07;3.570E-02;2.070E-02;2.320E-05;1.550E-05;2.890E-05;1.770E-05;9.340E-07;2.640E-05;2.920E-01
RHS 100x50x3.6;0.1;0.05;0.0036;0.00101;24.8;1.090E+01;1.280E-06;4.260E-07;3.550E-02;2.050E-02;2.560E-05;1.700E-05;3.210E-05;1.960E-05;1.030E-06;2.900E-05;2.910E-01
RHS 100x50x4;0.1;0.05;0.004;0.00112;22;9.500E+00;1.400E-06;4.620E-07;3.530E-02;2.030E-02;2.790E-05;1.850E-05;3.520E-05;2.150E-05;1.130E-06;3.140E-05;2.900E-01
RHS 100x50x5;0.1;0.05;0.005;0.00137;17;7.000E+00;1.670E-06;5.430E-07;3.480E-02;1.990E-02;3.330E-05;2.170E-05;4.260E-05;2.580E-05;1.350E-06;3.690E-05;2.870E-01
RHS 100x50x6.3;0.1;0.05;0.0063;0.00169;12.9;4.940E+00;1.970E-06;6.300E-07;3.420E-02;1.930E-02;3.940E-05;2.520E-05;5.130E-05;3.080E-05;1.600E-06;4.290E-05;2.840E-01
RHS 100x50x8;0.1;0.05;0.008;0.00208;9.5;3.250E+00;2.300E-06;7.170E-07;3.330E-02;1.860E-02;4.600E-05;2.870E-05;6.140E-05;3.630E-05;1.860E-06;4.890E-05;2.790E-01
RHS 100x50x10;0.1;0.05;0.01;0.00249;7;2.000E+00;2.590E-06;7.840E-07;3.220E-02;1.770E-02;5.180E-05;3.140E-05;7.120E-05;4.140E-05;2.090E-06;5.360E-05;2.740E-01
RHS 100x60x3.2;0.1;0.06;0.0032;0.000972;28.3;1.580E+01;1.310E-06;5.880E-07;3.670E-02;2.460E-02;2.620E-05;1.960E-05;3.200E-05;2.240E-05;1.290E-06;3.240E-05;3.120E-01
RHS 100x60x3.6;0.1;0.06;0.0036;0.00109;24.8;1.370E+01;1.450E-06;6.480E-07;3.650E-02;2.440E-02;2.890E-05;2.160E-05;3.560E-05;2.490E-05;1.420E-06;3.560E-05;3.110E-01
RHS 100x60x4;0.1;0.06;0.004;0.0012;22;1.200E+01;1.580E-06;7.050E-07;3.630E-02;2.430E-02;3.160E-05;2.350E-05;3.910E-05;2.730E-05;1.560E-06;3.870E-05;3.100E-01
RHS 100x60x5;0.1;0.06;0.005;0.00147;17;9.000E+00;1.890E-06;8.360E-07;3.580E-02;2.380E-02;3.780E-05;2.790E-05;4.740E-05;3.290E-05;1.880E-06;4.590E-05;3.070E-01
RHS 100x60x6.3;0.1;0.06;0.0063;0.00181;12.9;6.520E+00;2.250E-06;9.810E-07;3.520E-02;2.330E-02;4.500E-05;3.270E-05;5.730E-05;3.950E-05;2.240E-06;5.380E-05;3.040E-01
RHS 100x60x8;0.1;0.06;0.008;0.00224;9.5;4.500E+00;2.640E-06;1.130E-06;3.440E-02;2.250E-02;5.280E-05;3.780E-05;6.870E-05;4.710E-05;2.650E-06;6.220E-05;2.990E-01
RHS 100x60x10;0.1;0.06;0.01;0.00269;7;3.000E+00;2.990E-06;1.260E-06;3.330E-02;2.160E-02;5.990E-05;4.210E-05;8.020E-05;5.440E-05;3.040E-06;6.930E-05;2.940E-01
RHS 120x60x3.6;0.12;0.06;0.0036;0.00123;30.3;1.370E+01;2.270E-06;7.630E-07;4.300E-02;2.490E-02;3.790E-05;2.540E-05;4.720E-05;2.890E-05;1.830E-06;4.330E-05;3.510E-01
RHS 120x60x4;0.12;0.06;0.004;0.00136;27;1.200E+01;2.490E-06;8.310E-07;4.280E-02;2.470E-02;4.150E-05;2.770E-05;5.190E-05;3.170E-05;2.010E-06;4.710E-05;3.500E-01
RHS 120x60x5;0.12;0.06;0.005;0.00167;21;9.000E+00;2.990E-06;9.880E-07;4.230E-02;2.430E-02;4.990E-05;3.290E-05;6.310E-05;3.840E-05;2.420E-06;5.600E-05;3.470E-01
RHS 120x60x6.3;0.12;0.06;0.0063;0.00207;16;6.520E+00;3.580E-06;1.160E-06;4.160E-02;2.370E-02;5.970E-05;3.880E-05;7.670E-05;4.630E-05;2.900E-06;6.590E-05;3.440E-01
RHS 120x60x8;0.12;0.06;0.008;0.00256;12;4.500E+00;4.250E-06;1.350E-06;4.080E-02;2.300E-02;7.080E-05;4.500E-05;9.270E-05;5.540E-05;3.440E-06;7.660E-05;3.390E-01
RHS 120x60x10;0.12;0.06;0.01;0.00309;9;3.000E+00;4.880E-06;1.520E-06;3.970E-02;2.210E-02;8.140E-05;5.050E-05;1.090E-04;6.440E-05;3.960E-06;8.610E-05;3.340E-01
RHS 120x80x3.6;0.12;0.08;0.0036;0.00137;30.3;1.920E+01;2.760E-06;1.470E-06;4.480E-02;3.270E-02;4.600E-05;3.670E-05;5.560E-05;4.200E-05;3.010E-06;5.950E-05;3.910E-01
RHS 120x80x4;0.12;0.08;0.004;0.00152;27;1.700E+01;3.030E-06;1.610E-06;4.460E-02;3.250E-02;5.040E-05;4.020E-05;6.120E-05;4.610E-05;3.300E-06;6.500E-05;3.900E-01
RHS 120x80x5;0.12;0.08;0.005;0.00187;21;1.300E+01;3.650E-06;1.930E-06;4.420E-02;3.210E-02;6.090E-05;4.820E-05;7.460E-05;5.610E-05;4.010E-06;7.790E-05;3.870E-01
RHS 120x80x6.3;0.12;0.08;0.0063;0.00232;16;9.700E+00;4.400E-06;2.300E-06;4.360E-02;3.150E-02;7.330E-05;5.760E-05;9.100E-05;6.820E-05;4.870E-06;9.290E-05;3.840E-01
RHS 120x80x8;0.12;0.08;0.008;0.00288;12;7.000E+00;5.250E-06;2.730E-06;4.270E-02;3.080E-02;8.750E-05;6.810E-05;1.110E-04;8.260E-05;5.870E-06;1.100E-04;3.790E-01
RHS 120x80x10;0.12;0.08;0.01;0.00349;9;5.000E+00;6.090E-06;3.130E-06;4.180E-02;2.990E-02;1.020E-04;7.810E-05;1.310E-04;9.730E-05;6.880E-06;1.260E-04;3.740E-01
RHS 150x100x4;0.15;0.1;0.004;0.00192;34.5;2.200E+01;6.070E-06;3.240E-06;5.630E-02;4.110E-02;8.100E-05;6.480E-05;9.740E-05;7.360E-05;6.600E-06;1.050E-04;4.900E-01
RHS 150x100x5;0.15;0.1;0.005;0.00237;27;1.700E+01;7.390E-06;3.920E-06;5.580E-02;4.070E-02;9.850E-05;7.850E-05;1.190E-04;9.010E-05;8.070E-06;1.270E-04;4.870E-01
RHS 150x100x6.3;0.15;0.1;0.0063;0.00295;20.8;1.290E+01;8.980E-06;4.740E-06;5.520E-02;4.010E-02;1.200E-04;9.480E-05;1.470E-04;1.100E-04;9.860E-06;1.530E-04;4.840E-01
RHS 150x100x8;0.15;0.1;0.008;0.00368;15.8;9.500E+00;1.090E-05;5.690E-06;5.440E-02;3.940E-02;1.450E-04;1.140E-04;1.800E-04;1.350E-04;1.200E-05;1.830E-04;4.790E-01
RHS 150x100x10;0.15;0.1;0.01;0.00449;12;7.000E+00;1.280E-05;6.650E-06;5.340E-02;3.850E-02;1.710E-04;1.330E-04;2.160E-04;1.610E-04;1.430E-05;2.140E-04;4.740E-01
RHS 150x100x12.5;0.15;0.1;0.0125;0.00546;9;5.000E+00;1.490E-05;7.630E-06;5.220E-02;3.740E-02;1.980E-04;1.530E-04;2.560E-04;1.900E-04;1.680E-05;2.460E-04;4.680E-01
RHS 160x80x4;0.16;0.08;0.004;0.00184;37;1.700E+01;6.120E-06;2.070E-06;5.770E-02;3.350E-02;7.650E-05;5.170E-05;9.470E-05;5.830E-05;4.930E-06;8.810E-05;4.700E-01
RHS 160x80x5;0.16;0.08;0.005;0.00227;29;1.300E+01;7.440E-06;2.490E-06;5.720E-02;3.310E-02;9.300E-05;6.230E-05;1.160E-04;7.110E-05;6.000E-06;1.060E-04;4.670E-01
RHS 160x80x6.3;0.16;0.08;0.0063;0.00282;22.4;9.700E+00;9.030E-06;2.990E-06;5.660E-02;3.260E-02;1.130E-04;7.480E-05;1.420E-04;8.680E-05;7.300E-06;1.270E-04;4.640E-01
RHS 160x80x8;0.16;0.08;0.008;0.00352;17;7.000E+00;1.090E-05;3.560E-06;5.570E-02;3.180E-02;1.360E-04;8.900E-05;1.750E-04;1.060E-04;8.830E-06;1.510E-04;4.590E-01
RHS 160x80x10;0.16;0.08;0.01;0.00429;13;5.000E+00;1.280E-05;4.110E-06;5.470E-02;3.100E-02;1.610E-04;1.030E-04;2.090E-04;1.250E-04;1.040E-05;1.750E-04;4.540E-01
RHS 160x80x12.5;0.16;0.08;0.0125;0.00521;9.8;3.400E+00;1.480E-05;4.650E-06;5.340E-02;2.990E-02;1.860E-04;1.160E-04;2.470E-04;1.460E-04;1.200E-05;1.980E-04;4.480E-01
RHS 200x100x4;0.2;0.1;0.004;0.00232;47;2.200E+01;1.220E-05;4.160E-06;7.260E-02;4.240E-02;1.220E-04;8.320E-05;1.500E-04;9.280E-05;9.830E-06;1.420E-04;5.900E-01
RHS 200x100x5;0.2;0.1;0.005;0.00287;37;1.700E+01;1.500E-05;5.050E-06;7.210E-02;4.190E-02;1.490E-04;1.010E-04;1.850E-04;1.140E-04;1.200E-05;1.720E-04;5.870E-01
RHS 200x100x6.3;0.2;0.1;0.0063;0.00358;28.7;1.290E+01;1.830E-05;6.130E-06;7.150E-02;4.140E-02;1.830E-04;1.230E-04;2.280E-04;1.400E-04;1.480E-05;2.080E-04;5.840E-01
RHS 200x100x8;0.2;0.1;0.008;0.00448;22;9.500E+00;2.230E-05;7.390E-06;7.060E-02;4.060E-02;2.230E-04;1.480E-04;2.820E-04;1.720E-04;1.800E-05;2.510E-04;5.790E-01
RHS 200x100x10;0.2;0.1;0.01;0.00549;17;7.000E+00;2.660E-05;8.690E-06;6.960E-02;3.980E-02;2.660E-04;1.740E-04;3.410E-04;2.060E-04;2.160E-05;2.950E-04;5.740E-01
RHS 200x100x12.5;0.2;0.1;0.0125;0.00671;13;5.000E+00;3.140E-05;1.000E-05;6.840E-02;3.870E-02;3.140E-04;2.010E-04;4.080E-04;2.450E-04;2.540E-05;3.410E-04;5.680E-01
RHS 200x100x14.2;0.2;0.1;0.0142;0.0075;11.1;4.040E+00;3.420E-05;1.080E-05;6.750E-02;3.800E-02;3.420E-04;2.160E-04;4.500E-04;2.680E-04;2.770E-05;3.680E-04;5.630E-01
RHS 200x100x16;0.2;0.1;0.016;0.0083;9.5;3.250E+00;3.680E-05;1.150E-05;6.660E-02;3.720E-02;3.680E-04;2.290E-04;4.910E-04;2.900E-04;2.980E-05;3.910E-04;5.590E-01
RHS 200x120x5;0.2;0.12;0.005;0.00307;37;2.100E+01;1.680E-05;7.620E-06;7.400E-02;4.980E-02;1.680E-04;1.270E-04;2.050E-04;1.440E-04;1.650E-05;2.100E-04;6.270E-01
RHS 200x120x6.3;0.2;0.12;0.0063;0.00383;28.7;1.600E+01;2.060E-05;9.290E-06;7.340E-02;4.920E-02;2.070E-04;1.550E-04;2.530E-04;1.770E-04;2.030E-05;2.550E-04;6.240E-01
RHS 200x120x8;0.2;0.12;0.008;0.0048;22;1.200E+01;2.530E-05;1.130E-05;7.260E-02;4.850E-02;2.530E-04;1.880E-04;3.130E-04;2.180E-04;2.500E-05;3.100E-04;6.190E-01
RHS 200x120x10;0.2;0.12;0.01;0.00589;17;9.000E+00;3.030E-05;1.340E-05;7.170E-02;4.760E-02;3.030E-04;2.230E-04;3.790E-04;2.630E-04;3.000E-05;3.670E-04;6.140E-01
RHS 200x120x12.5;0.2;0.12;0.0125;0.00721;13;6.600E+00;3.580E-05;1.560E-05;7.040E-02;4.660E-02;3.580E-04;2.600E-04;4.550E-04;3.140E-04;3.570E-05;4.280E-04;6.080E-01
RHS 200x120x14.2;0.2;0.12;0.0142;0.00807;11.1;5.450E+00;3.910E-05;1.690E-05;6.960E-02;4.580E-02;3.910E-04;2.820E-04;5.030E-04;3.460E-04;3.920E-05;4.640E-04;6.030E-01
RHS 200x120x16;0.2;0.12;0.016;0.00894;9.5;4.500E+00;4.220E-05;1.810E-05;6.870E-02;4.500E-02;4.220E-04;3.020E-04;5.500E-04;3.770E-04;4.250E-05;4.970E-04;5.990E-01
RHS 200x150x5;0.2;0.15;0.005;0.00337;37;2.700E+01;1.970E-05;1.260E-05;7.640E-02;6.120E-02;1.970E-04;1.690E-04;2.340E-04;1.920E-04;2.390E-05;2.670E-04;6.870E-01
RHS 200x150x6.3;0.2;0.15;0.0063;0.00421;28.7;2.080E+01;2.420E-05;1.550E-05;7.580E-02;6.070E-02;2.420E-04;2.070E-04;2.890E-04;2.370E-04;2.950E-05;3.260E-04;6.840E-01
RHS 200x150x8;0.2;0.15;0.008;0.00528;22;1.580E+01;2.970E-05;1.890E-05;7.500E-02;5.990E-02;2.970E-04;2.530E-04;3.590E-04;2.940E-04;3.640E-05;3.980E-04;6.790E-01
